"Date","Price","Open","High","Low","Vol.","Change %"
"05/08/2024","68.65","66.47","69.32","66.47","0.56K","1.51%"
"05/07/2024","67.64","67.77","70.43","67.53","3.27K","-1.11%"
"05/03/2024","68.39","70.22","70.55","69.57","1.40K","-1.61%"
"05/02/2024","69.51","64.97","68.80","64.97","0.91K","7.70%"
"05/01/2024","64.54","64.27","64.27","64.27","0.09K","-1.79%"
"04/30/2024","65.72","65.23","65.23","64.45","0.01K","4.64%"
"04/29/2024","62.81","62.55","62.55","62.39","0.22K","-1.95%"
"04/26/2024","64.06","65.18","65.18","64.00","0.16K","-1.83%"
"04/25/2024","65.25","64.04","66.37","63.33","53.55K","2.43%"
"04/24/2024","63.71","62.75","64.04","61.66","1.52K","0.89%"
"04/23/2024","63.15","63.13","63.75","62.45","0.55K","-0.17%"
"04/22/2024","63.25","64.69","64.69","63.23","0.65K","-3.05%"
"04/19/2024","65.24","68.95","68.95","66.00","1.70K","-4.66%"
"04/18/2024","68.43","65.60","67.60","65.51","10.25K","2.30%"
"04/17/2024","66.89","69.90","69.90","66.32","2.66K","-5.36%"
"04/16/2024","70.68","67.72","70.94","67.72","4.26K","4.74%"
"04/15/2024","67.47","66.73","67.00","66.20","0.17K","-1.08%"
"04/12/2024","68.21","67.00","68.27","65.71","1.99K","4.58%"
"04/11/2024","65.22","61.35","64.67","61.35","2.01K","8.86%"
"04/10/2024","59.92","60.83","60.90","59.59","0.84K","-1.61%"
"04/09/2024","60.90","60.21","61.61","60.00","4.07K","0.64%"
"04/08/2024","60.51","57.47","60.50","57.47","0.49K","4.71%"
"04/05/2024","57.78","55.81","57.38","55.70","0.08K","3.61%"
"04/04/2024","55.77","55.64","56.05","55.00","0.58K","-3.22%"
"04/03/2024","57.63","57.00","57.00","54.51","1.10K","2.38%"
"04/02/2024","56.28","58.50","58.50","56.00","1.86K","-4.59%"
"03/28/2024","58.99","59.20","59.73","58.56","2.99K","-0.55%"
"03/27/2024","59.32","60.25","60.29","58.50","0.46K","-1.95%"
"03/26/2024","60.50","61.62","62.00","59.50","0.30K","-2.29%"
"03/25/2024","61.92","60.00","62.01","60.00","0.50K","5.84%"
"03/22/2024","58.50","57.70","58.81","57.70","2.45K","3.79%"
"03/21/2024","56.37","56.35","56.99","56.06","0.32K","-2.24%"
"03/20/2024","57.65","57.60","57.70","57.54","0.01K","-0.80%"
"03/19/2024","58.12","59.63","59.68","57.25","0.30K","-0.06%"
"03/18/2024","58.15","58.26","59.05","57.95","1.03K","2.03%"
"03/15/2024","57.00","56.27","57.20","55.55","1.15K","3.06%"
"03/14/2024","55.31","52.68","55.60","52.68","0.57K","4.22%"
"03/13/2024","53.07","54.52","54.60","52.73","0.55K","-1.21%"
"03/12/2024","53.72","53.30","53.83","52.44","2.22K","0.81%"
"03/11/2024","53.29","54.12","54.20","52.90","1.19K","-3.96%"
"03/08/2024","55.49","56.01","56.25","55.00","0.73K","-1.56%"
"03/07/2024","56.37","55.38","57.96","55.06","3.91K","-0.28%"
"03/06/2024","56.53","55.79","59.56","55.79","4.29K","-1.06%"
"03/05/2024","57.13","56.10","58.23","55.66","1.05K","5.44%"
"03/04/2024","54.19","52.70","54.42","51.01","1.32K","0.99%"
"03/01/2024","53.65","53.27","53.70","52.42","1.71K","1.08%"
"02/29/2024","53.08","54.33","54.59","52.87","3.17K","-3.46%"
"02/28/2024","54.98","53.50","55.91","52.60","5.83K","3.75%"
"02/27/2024","52.99","50.54","53.00","49.85","1.56K","3.83%"
"02/26/2024","51.04","51.00","51.80","49.45","1.96K","2.77%"
"02/23/2024","49.67","49.78","49.85","48.50","1.21K","-0.50%"
"02/22/2024","49.92","53.66","53.66","49.75","2.29K","-4.19%"
"02/21/2024","52.10","51.50","52.10","50.73","2.69K","1.37%"
"02/20/2024","51.40","51.00","52.01","50.00","0.95K","1.48%"
"02/19/2024","50.65","53.25","53.25","50.36","2.24K","-6.39%"
"02/16/2024","54.10","55.00","55.00","53.50","0.16K","-1.97%"
"02/15/2024","55.19","53.99","55.97","53.64","1.40K","3.01%"
"02/14/2024","53.58","52.70","54.46","52.04","2.22K","0.47%"
"02/13/2024","53.33","54.60","54.77","53.00","0.94K","-0.98%"
"02/12/2024","53.85","55.17","55.68","54.00","6.95K","-3.22%"
"02/09/2024","55.65","56.79","57.00","55.06","2.26K","-3.27%"
"02/08/2024","57.53","59.35","59.35","57.57","1.66K","-2.82%"
"02/07/2024","59.19","59.90","59.90","59.90","0.10K","-1.93%"
"02/06/2024","60.36","59.00","60.25","59.00","0.90K","-0.84%"
"02/05/2024","60.87","59.79","61.00","59.45","1.87K","1.22%"
"02/02/2024","60.13","59.60","60.34","59.37","0.40K","1.91%"
"02/01/2024","59.01","61.09","61.18","59.04","1.47K","-3.09%"
"01/31/2024","60.89","60.63","61.02","60.03","1.12K","0.72%"
"01/30/2024","60.46","58.93","60.17","58.60","1.12K","3.28%"
"01/29/2024","58.53","60.62","60.84","59.92","0.12K","-2.41%"
"01/26/2024","59.98","59.47","60.35","59.45","5.59K","0.36%"
"01/25/2024","59.76","61.62","61.79","59.43","0.16K","-3.78%"
"01/24/2024","62.12","61.15","62.85","60.72","1.24K","4.25%"
"01/23/2024","59.58","59.02","60.00","58.90","2.80K","0.41%"
"01/22/2024","59.34","60.40","60.40","57.55","0.65K","-1.02%"
"01/19/2024","59.95","59.63","61.03","59.14","2.75K","0.03%"
"01/18/2024","59.93","59.90","60.71","59.30","1.66K","0.17%"
"01/17/2024","59.83","61.70","62.10","59.85","2.68K","-3.38%"
"01/16/2024","61.92","62.80","62.80","61.70","6.76K","-2.39%"
"01/15/2024","63.44","61.55","63.50","61.39","2.38K","2.17%"
"01/12/2024","62.10","64.60","64.99","61.65","2.31K","-3.35%"
"01/11/2024","64.25","65.60","65.93","63.85","2.32K","-2.60%"
"01/10/2024","65.96","68.50","68.50","66.00","0.76K","-3.36%"
"01/09/2024","68.25","68.00","68.64","68.00","0.34K","0.08%"
"01/08/2024","68.20","72.00","72.00","69.26","0.29K","-5.47%"
"01/05/2024","72.14","72.69","73.11","72.00","1.01K","1.11%"
"01/04/2024","71.36","73.36","73.41","70.99","1.09K","-2.68%"
"01/03/2024","73.32","72.69","72.80","72.69","0.14K","1.98%"
"01/02/2024","71.89","76.60","76.60","71.84","0.53K","-6.14%"
"12/29/2023","76.60","75.73","76.60","75.07","0.24K","1.13%"
"12/28/2023","75.75","72.76","75.45","72.76","0.66K","1.01%"
"12/27/2023","74.99","74.90","75.20","74.54","0.33K","0.56%"
"12/22/2023","74.57","74.10","74.90","73.59","0.26K","1.41%"
"12/21/2023","73.54","73.76","74.32","72.96","0.76K","3.26%"
"12/20/2023","71.21","68.97","71.00","68.50","1.59K","5.00%"
"12/19/2023","67.82","67.40","67.53","67.01","0.22K","0.04%"
"12/18/2023","67.80","72.37","72.37","65.50","0.29K","3.10%"
"12/15/2023","65.76","66.00","66.14","65.25","0.49K","0.66%"
"12/14/2023","65.33","68.01","68.02","64.75","0.44K","-3.29%"
