Open,Close,High,Low,Volume,Date
119.75,119,119.75,119.75,,05/22/23
118,118.7,119,118,,05/19/23
0,116.9,0,0,,05/18/23
0,118.5,0,0,,05/17/23
118.35,117.5,118.35,117,,05/16/23
119,118.15,119,118,,05/15/23
120,119.45,120,119,,05/12/23
120,119.1,120,120,,05/11/23
123.5,122.45,123.75,123.5,,05/10/23
0,125,0,0,,05/09/23
0,127.15,0,0,,05/08/23
0,127.15,0,0,,05/05/23
126,125.3,127.5,125,,05/04/23
133,131.5,133,132.75,,05/03/23
136.25,136.1,136.25,136.25,,05/02/23
0,136.4,0,0,,05/01/23
0,136.4,0,0,,04/28/23
0,140,0,0,,04/27/23
0,140.15,0,0,,04/26/23
0,140,0,0,,04/25/23
0,138.75,0,0,,04/24/23
0,139.25,0,0,,04/21/23
138.5,138.65,138.5,138.5,,04/20/23
0,138,0,0,,04/19/23
0,137.05,0,0,,04/18/23
136.5,136,136.75,136.5,,04/17/23
136,135.9,136,136,,04/14/23
134.1,134.4,134.1,134.1,,04/13/23
133,133.8,134.25,133,,04/12/23
0,129.45,0,0,,04/11/23
0,135.1,0,0,,04/10/23
135,135.1,135,135,,04/06/23
150,139,150,144.85,,04/05/23
0,144.05,0,0,,04/04/23
147.5,149,149,147.5,,04/03/23
0,137.8,0,0,,03/31/23
0,137.9,0,0,,03/30/23
0,137.75,0,0,,03/29/23
137,137.8,137,137,,03/28/23
136,136.75,136,136,,03/27/23
0,135.15,0,0,,03/24/23
0,135.8,0,0,,03/23/23
139,137.1,139,135,,03/22/23
135,139,139,135,,03/21/23
134,134.5,136,134,,03/20/23
134,134.5,134,134,,03/17/23
137.25,138,138,137,,03/16/23
137,138,137,137,,03/15/23
137,141,138.5,135,,03/14/23
136,138.65,140.5,136,,03/13/23
130,135,132,129,,03/10/23
123,126.75,127,123,,03/09/23
123,123.35,124,123,,03/08/23
124,124.5,126,123,,03/07/23
131,123,131,126,,03/06/23
137,131.75,137,131,,03/03/23
143.5,141.4,143.5,143.25,,03/02/23
146.5,143.85,146.5,144,,03/01/23
151.9,145.9,151.9,144.5,,02/28/23
153,148.15,156,149,,02/27/23
0,157.1,0,0,,02/24/23
0,139,0,0,,02/23/23
136.5,137.15,136.5,136.5,,02/22/23
0,137,0,0,,02/21/23
0,136.5,0,0,,02/20/23
136.5,136.5,136.5,136.5,,02/17/23
136.5,137,137,136.5,,02/16/23
134.5,136.5,136.75,134.5,,02/15/23
134,134,134,134,,02/14/23
0,132,0,0,,02/13/23
129,132,131,129,,02/10/23
0,128,0,0,,02/09/23
0,129.65,0,0,,02/08/23
141,136,141,138.7,,02/07/23
138,139.25,139.5,138,,02/06/23
137,138.5,137,137,,02/03/23
137,136.85,137,136,,02/02/23
142.5,142.1,143,141.5,,02/01/23
142,136.65,143,132,,01/31/23
140,139,141.5,138,,01/30/23
166.5,141,166.5,166.5,,01/27/23
168,166.4,168,166,,01/26/23
169,166.75,169,165,,01/25/23
170,170,170,170,,01/24/23
172,172.4,172,172,,01/23/23
0,174.45,0,0,,01/20/23
174.5,175,174.5,173,,01/19/23
176,175,176,176,,01/18/23
167,170,172,167,,01/17/23
0,168,0,0,,01/16/23
0,169,0,0,,01/13/23
170,172.7,170,170,,01/12/23
165,165,165,165,,01/11/23
172,172.1,172.25,172,,01/10/23
0,172.6,0,0,,01/09/23
0,172.3,0,0,,01/06/23
0,177.75,0,0,,01/05/23
182,178.75,182,182,,01/04/23
187,187.25,189,185,,01/03/23
0,190.5,0,0,,01/02/23
0,190.5,0,0,,12/30/22
0,227.85,0,0,,12/29/22
0,227.35,0,0,,12/28/22
0,223.35,0,0,,12/27/22
0,228.7,0,0,,12/23/22
230,229.5,230,230,,12/22/22
228,228,228,228,,12/21/22
233.95,230.45,233.95,233.95,,12/20/22
0,230.5,0,0,,12/19/22
0,234.2,0,0,,12/16/22
0,240,0,0,,12/15/22
0,240.6,0,0,,12/14/22
0,247,0,0,,12/13/22
261,250.25,261,259,,12/12/22
258,260.9,261,252,,12/09/22
0,256.5,0,0,,12/08/22
0,263.3,0,0,,12/07/22
0,266.65,0,0,,12/06/22
0,262.25,0,0,,12/05/22
268,267,268,268,,12/02/22
269,266,281.5,265,,12/01/22
256,279,275,256,,11/30/22
256,260,260,256,,11/29/22
243,249,250,240.75,,11/28/22
0,241.45,0,0,,11/25/22
0,213.8,0,0,,11/24/22
0,213.9,0,0,,11/23/22
0,213,0,0,,11/22/22
0,216.2,0,0,,11/21/22
0,207.65,0,0,,11/18/22
0,202,0,0,,11/17/22
200,197,200,200,,11/16/22
200,203.5,203,200,,11/15/22
0,194,0,0,,11/14/22
0,190.55,0,0,,11/11/22
0,190.65,0,0,,11/10/22
0,188.8,0,0,,11/09/22
0,191.5,0,0,,11/08/22
210,200.9,210,205,,11/07/22
0,216,0,0,,11/04/22
220,221,220,220,,11/03/22
230,229.5,230,229,,11/02/22
222,225.1,229,222,,11/01/22
230,219.25,234,215,,10/31/22
0,239.95,0,0,,10/28/22
0,267.9,0,0,,10/27/22
0,269.1,0,0,,10/26/22
0,270.05,0,0,,10/25/22
0,269.55,0,0,,10/24/22
0,270,0,0,,10/21/22
270,270,270,270,,10/20/22
269,268,269,268,,10/19/22
267,267,267,263,,10/18/22
0,270.5,0,0,,10/17/22
277,274,277,277,,10/14/22
284,272.5,284,284,,10/13/22
274,280.1,282.5,274,,10/12/22
258.5,265.85,268,258.5,,10/11/22
263,262,263,263,,10/10/22
262,261.6,262,262,,10/07/22
288,267.85,288,272.5,,10/06/22
297.5,294.35,297.5,291,,10/05/22
308.35,301,308.35,302.15,,10/04/22
0,315.85,0,0,,10/03/22
328.75,315.5,328.75,328.75,,09/30/22
0,328.15,0,0,,09/29/22
0,328.15,0,0,,09/28/22
324.5,325.6,324.5,324.5,,09/27/22
327,325.75,327,324,,09/26/22
0,327,0,0,,09/23/22
322,323.65,322,322,,09/22/22
0,324.05,0,0,,09/21/22
0,323.65,0,0,,09/20/22
0,334.25,0,0,,09/19/22
334,331,334,331,,09/16/22
340,337.2,340,340,,09/15/22
340,336,340,340,,09/14/22
335,336,336,335,,09/13/22
329,329,330,329,,09/12/22
332,337,340,332,,09/09/22
355,341,355,341.5,,09/08/22
375,363.05,375,375,,09/07/22
390,380,390,380,,09/06/22
0,376,0,0,,09/02/22
370,370.25,370.75,367.5,,09/01/22
360,367,365,360,,08/31/22
362.5,365.75,367.55,355,,08/30/22
375,375.05,375,375,,08/29/22
369,383.1,369,369,,08/26/22
372,368,372,370,,08/25/22
0,371.25,0,0,,08/24/22
0,370,0,0,,08/23/22
382,377.75,382,382,,08/22/22
365,371.25,376,365,,08/19/22
361,365,365,361,,08/18/22
360,359.75,361,358,,08/17/22
360,358.05,360,358,,08/16/22
352,353.9,354,352,,08/15/22
348,350.5,350.25,348,,08/12/22
344,344,344,344,,08/11/22
0,342,0,0,,08/10/22
319,328.75,324,319,,08/09/22
325,320,325,325,,08/08/22
320,313.65,320,313,,08/05/22
345,329.5,345,326.9,,08/04/22
365,355,365,355,,08/03/22
367,366.05,367,364,,08/02/22
368.4,365.5,368.4,365,,08/01/22
0,372,0,0,,07/29/22
0,390.25,0,0,,07/28/22
0,387,0,0,,07/27/22
0,389.5,0,0,,07/26/22
386,387.35,386,386,,07/25/22
376,376.3,376,376,,07/22/22
377,376.05,377,377,,07/21/22
375,376.95,380,375,,07/20/22
370,375,375,368,,07/19/22
0,374,0,0,,07/18/22
0,385.05,0,0,,07/15/22
393.45,392.6,393.45,393.45,,07/14/22
0,395,0,0,,07/13/22
400,397.5,400,396,,07/12/22
0,390,0,0,,07/11/22
0,388.9,0,0,,07/08/22
384.6,385,387,384.6,,07/07/22
377,384.75,377,377,,07/06/22
385,380,385,380,,07/05/22
372,376,375,372,,07/04/22
374,369,374,367,,07/01/22
370,370,372,369,,06/30/22
370,364.75,372,364.5,,06/29/22
361.5,366.5,369,360,,06/28/22
375,372,375,370,,06/27/22
0,367.2,0,0,,06/24/22
350,350,350,350,,06/23/22
345,345.5,345,345,,06/22/22
0,345.5,0,0,,06/21/22
343,345.35,345,343,,06/20/22
333,335,335,333,,06/17/22
0,330.65,0,0,,06/16/22
326,332.45,330,326,,06/15/22
320,323,322,320,,06/14/22
0,317.15,0,0,,06/13/22
327.7,317.5,327.7,317.75,,06/10/22
330,323,335.5,323.5,,06/09/22
325,330,330,323,,06/08/22
330,326.2,330,330,,06/07/22
330,333.6,330,330,,06/06/22
0,327.15,0,0,,06/03/22
0,327.15,0,0,,06/02/22
321,326.15,326,321,,06/01/22
312,333,339,312,,05/31/22
302,306,304,302,,05/30/22
0,291,0,0,,05/27/22
0,330.6,0,0,,05/26/22
330,330.65,330,330,,05/25/22
331.5,331.05,331.5,331,,05/24/22
0,332.35,0,0,,05/23/22
331,336.35,336,331,,05/20/22
331,332,333,330,,05/19/22
331,331.8,332.5,331,,05/18/22
330,329.35,330,330,,05/17/22
323,324,323,323,,05/16/22
319,319,319,319,,05/13/22
329,325.5,335,329,,05/12/22
315,319,320,315,,05/11/22
