Open,Close,High,Low,Volume,Date
67.75,67.7,67.75,67.75,,01/27/21
67.45,67.65,67.6,67.45,,01/26/21
67.4,67.45,67.4,67.4,,01/25/21
0,67.5,0,0,,01/22/21
67.5,67.55,67.55,67.5,,01/21/21
67.6,67.5,67.6,67.4,,01/20/21
67.5,67.5,67.5,67.3,,01/19/21
68,67.25,68.1,67.9,,01/18/21
68.9,68.6,68.9,68.6,,01/15/21
69.5,69.9,69.95,69.4,,01/14/21
69.5,70.15,70.1,69.5,,01/13/21
69.1,70.5,70.5,68.95,,01/12/21
68.55,68.5,68.55,68.4,,01/11/21
67.75,68.5,68.5,67.35,,01/08/21
